plt_name,prefix,rev
FGT_94D_POE,FG94DP,Gen1
FGT_80D,FG080D,Rev1
FGT_300D,FGT3HD,1
FGT_500D,FGT5HD,Gen1
FGR_60D,FGR60D,1
FAP_321C,FP321C,1
FGT_240D_POE,FGP240,1
FGT_200D_POE,FGP200,1
FTCL_5903C,\N,Gen1
FGT_5001D,FG-5KD,Gen1
FGV_70D4,\N,Gen1
FAP_222C,FP222C,1
FGT_1000D,FGT1KD,1
FGT_1000D,FGT1KD,2
FGT_92D,FGT92D,Gen1
FGT_VM64_KVM,FGVMK6,1
FWF_92D,FWF92D,Gen1
FGT_1200D,FG1K2D,1
FGT_1200D,FG1K2D,2
FGR_90D,FGR90D,1
FGT_VM64,FGVM64,1
FGT_VM32,FGVM32,Gen1
FGT_98D_POE,FG98DP,Gen1
FGT_3200D,FG3K2D,1
FGT_3700DX,FG37DX,1
FGV_40D2,FGV4D2,Gen1
FGT_3700D_DC,FGD37D,1
FGT_70D_POE,FG70DP,Gen1
FGT_70D_POE,FG70DP,Gen2
FGT_3810D,FG381D,1
FTCL_5913C,FT513C,Gen1
FGT_5001BX,FG5KBX,1
FGT_3000D,FGT3KD,1
FWF_60CX_ADSL_A,FW60CA,Gen3
FGT_5001BX_G,FG5KBX,Gen1
FT_5902D,FT502D,Gen1
FGT_700D,FG700D,Rev1
FGT_3810D_DC,F381DD,1
FGT_30E,FGT30E,1
FGT_50E,FGT50E,Gen1
FGT_51E,FGT51E,Gen1
FWF_30E,FWF30E,Gen1
FWF_50E,FWF50E,Gen1
FWF_51E,FWF51E,Gen1
FGT_VM64_HV-08,FGVM08,Gen1
FGT_VM64_XEN-08,FGVM08,Gen1
FGT_VM64_KVM-08,FGVM08,Gen1
FGT_900D,FG900D,Gen1
FAP_223C,FP223C,1
FGT_3100D,FGT31D,Gen1
FGT_400D,FGT4HD,Gen1
FGT_600D,FGT6HD,Gen1
FGT_VM64_VMX,FGVM6V,1
FGT_3815D,FG385D,Gen1
FGT_1500DT,FG15DT,Gen1
FGT_800D,FG800D,Gen1
FGT_800D,FG800D,Gen2
FHV_500D,FHV5HD,1
FGR_30D,FGR30D,Gen1
FGT_30E_3G4G_NAM,FG30EN,1
FGT_52E,FGT52E,Gen1
FWF_30E_3G4G_NAM,FW30EN,Gen1
FGT_2000E,FGT2KE,1
FGT_2000E,FGT2KE,2
FGT_2500E,FG2K5E,1
FGT_2500E,FG2K5E,Gen2
FGR_35D,FGR35D,1.0
FGT_60E,FGT60E,1
FGT_61E,FGT61E,Gen1
FWF_61E,FWF61E,1
FWF_60E,FWF60E,Gen1
FGT_100E,FG100E,Gen1
FGT_101E,FG101E,Gen1
FGT_7040E-3,FG74E3,Gen1
FGT_VM64_KVM-02,FGVM02,1
FGT_VM64_KVM-04,FGVM04,1
FCR_3600E,FCR36E,1
FCR_3700E,FCR37E,1
FCR_3800E,FCR38E,1
FWF_50E_2R,FW502R,Gen1
FGT_VM16-KVM,FGVM16,Gen1
FGT_VM32-KVM,FGVM32,Gen1
FGT_KVM_unlimited,FGVMUL,Gen1
FGT_90E,FGT90E,Gen1
FGT_91E,FGT91E,Gen1
FGT_VM16,FGVM16,Gen1
FGT_VMUL,FGVMUL,Gen1
FGT_VM16-Xen,FGVM16,Gen1
FGT_VM32-Xen,FGVM32,Gen1
FGT_VM32-Hyper-V,FGVM32,Gen1
FGT_VM16-Hyper-V,FGVM16,Gen1
FGT_VMUL-Hyper-V,FGVMUL,Gen1
FGT_VMUL-Xen,FGVMUL,Gen1
FGT_VMUL_KVM,FGVMUL,Gen1
FHV_90E,FHV90E,Rev1
FGT_VM64_HV_01,FGVM01,1
FGT_HV01,FGVM01,1
FGT_VM64_HV-02,FGVM01,1
FGT_VM64_HV-04,FGVM04,1
FPM,,1
FGT_3980E,FG39E8,Gen1
FGT_VM01_XEN,FGVM01,1
FGT_VM02_XEN,FGVM02,1
FGT_VM04_XEN,FGVM04,1
FGT_VM08_XEN,FGVM08,1
FHV_2500E,FHV25E,1
FGT_200E,FG200E,Gen1
FGT_201E,FG201E,Gen1
FGT_7040E-4,FG74E4,Gen1
FGT_7040E-4,FG74E4,Null
FGT_80E_POE,FG80EP,Gen1
FGT_81E_POE,FG81EP,Gen1
FGT_30E_MI,FG30EI,Gen1
FGT_30E_MN,FG30EN,Gen1
FWF_30E_MI,FW30EI,Gen1
FWF_30E_MN,FW30EN,Gen1
FGT_81E,FGT81E,Gen1
FGT_100EF,FG1HEF,Gen1
FGT_7040E-1,FG74E1,Gen1
FGT_7060E-1,FG76E1,Gen1
FGT_7060E-3,FG76E3,Gen1
FGT_7040E-2,FG74E2,Gen1
FGT_7040E-5,FG74E5,Gen1
FGT_7040E-6,FG74E6,Gen1
FGT_7060E-2,FG76E2,Gen1
FGT_7060E-4,FG76E4,Gen1
FGT_7060E-5,FG76E5,Gen1
FGT_7060E-6,FG76E6,Gen1
RG_100EL,R100EL,Gen1
RG_100ESL,R1HESL,Gen1
FGT_140E_POE,F140EP,1
FGT_3960E,FG39E6,Gen1
FGT_140E,FG140E,Gen1
FGT_5001E,FG-5KE,Gen1
FGT_7040E-8,FG74E,Gen1
FGT_7060E-8,FG76E8,Gen1
FGT_500E,FG5H0E,Gen1
FGT_501E,FG5H1E,Gen1
FGT_7030E-S,FG73ES,Gen1
FGT_7030E-Q,FG73EQ,Gen1
FGT_301E,FG3H1E,Gen1
FGT_800D_DC,FGD8HD,Gen2
FGT_300E,FG3H0E,Gen1
FGT_60E_DSL,FG60EV,Gen1
FGT_5001E1,FG5KE1,Gen1
FWF_60E_DSL,FW60EV,Gen1
FGT_6300F,F6KF30,Gen1
FGT_6500F,F6KF50,Gen1
FGT_KVM01,FGVM01,Gen1
FGT_KVM02,,Gen1
FGT_KVM04,,Gen1
FGT_KVM08,,Gen1
FGT_KVM16,,Gen1
FGT_KVM32,,Gen1
FGT_KVMUL,,Gen1
FGT_6501F,F6KF51,Gen1
FGT_3960E_DC,FGD396,Gen1
FGT_3980E_DC,FGD398,Gen1
FGT_601E,FG6H1E,Gen1
FGT_600E,FG6H0E,Gen1
FGT_3601E,FG36E1,Gen1
FGT_3600E,FG3K6E,Gen1
FGT_401E,FG4H1E,Gen1
FGT_400E,FG4H0E,Gen1
FGT_3401E,FG34E1,Gen1
FGT_3400E,FG3K4E,Gen1
FGT_30E_MG,FG30EG,Gen1
FGT_100F,FG100F,Gen1
FGT_100F,FG100F,Gen2
FGT_101F,FG101F,Gen1
FGT_101F,FG101F,Gen2
FGT_60F,FGT60F,Gen1
FGT_61F,FGT61F,Gen1
FWF_60F,FWF60F,Gen1
FWF_61F,FWF61F,Gen1
FGT_1001E,FG10E1,Gen1
FGT_1000E,FG10E0,Gen1
FGT_3001E,FG3KE1,Gen1
FGT_1100E,FG10E0,Gen1
FGT_1101E,FG10E1,Gen1
FGT_1801E,FG18E1,Gen1
FGT_2200E,FG2K2E,Gen1
FGT_3300E,FG3K3E,Gen1
FGT_3301E,FG33E1,Gen1
FGT_2201E,FG22E1,1
FGT_40F,FGT40F,1
FGT_41F,FGT41F,1
FWF_40F,FWF40F,1
FWF_41F,FWF41F,1
FGT_7040E-9,FG74E9,Gen1
FGT_1801F,FG181F,Gen1
FGT_80F,FGT80F,Gen1
FGT_80F,FGT80F,Gen2
FGT_81F,FGT81F,Gen1
FGT_81F,FGT81F,Gen2
FGT_4201F,FG421F,Gen1
FGR_60F,FGR60F,Gen1
FGR_60F,FGR60F,Gen2
